C:\VScode\quickship\src\main.tsx: 6 dòng, 0 hàm
C:\VScode\quickship\src\app\App.tsx: 13 dòng, 1 hàm
C:\VScode\quickship\src\app\routes.ts: 67 dòng, 0 hàm
C:\VScode\quickship\src\app\components\BottomNav.tsx: 65 dòng, 1 hàm
C:\VScode\quickship\src\app\components\Header.tsx: 80 dòng, 1 hàm
C:\VScode\quickship\src\app\components\LanguageSwitcher.tsx: 16 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ProtectedRoute.tsx: 22 dòng, 1 hàm
C:\VScode\quickship\src\app\components\figma\ImageWithFallback.tsx: 27 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\accordion.tsx: 66 dòng, 4 hàm
C:\VScode\quickship\src\app\components\ui\alert-dialog.tsx: 157 dòng, 11 hàm
C:\VScode\quickship\src\app\components\ui\alert.tsx: 66 dòng, 3 hàm
C:\VScode\quickship\src\app\components\ui\aspect-ratio.tsx: 11 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\avatar.tsx: 53 dòng, 3 hàm
C:\VScode\quickship\src\app\components\ui\badge.tsx: 46 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\breadcrumb.tsx: 109 dòng, 7 hàm
C:\VScode\quickship\src\app\components\ui\button.tsx: 58 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\calendar.tsx: 75 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\card.tsx: 92 dòng, 7 hàm
C:\VScode\quickship\src\app\components\ui\carousel.tsx: 241 dòng, 6 hàm
C:\VScode\quickship\src\app\components\ui\chart.tsx: 353 dòng, 5 hàm
C:\VScode\quickship\src\app\components\ui\checkbox.tsx: 32 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\collapsible.tsx: 33 dòng, 3 hàm
C:\VScode\quickship\src\app\components\ui\command.tsx: 177 dòng, 9 hàm
C:\VScode\quickship\src\app\components\ui\context-menu.tsx: 252 dòng, 15 hàm
C:\VScode\quickship\src\app\components\ui\dialog.tsx: 135 dòng, 10 hàm
C:\VScode\quickship\src\app\components\ui\drawer.tsx: 132 dòng, 10 hàm
C:\VScode\quickship\src\app\components\ui\dropdown-menu.tsx: 257 dòng, 15 hàm
C:\VScode\quickship\src\app\components\ui\form.tsx: 168 dòng, 5 hàm
C:\VScode\quickship\src\app\components\ui\hover-card.tsx: 44 dòng, 3 hàm
C:\VScode\quickship\src\app\components\ui\input-otp.tsx: 77 dòng, 4 hàm
C:\VScode\quickship\src\app\components\ui\input.tsx: 21 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\label.tsx: 24 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\menubar.tsx: 276 dòng, 16 hàm
C:\VScode\quickship\src\app\components\ui\navigation-menu.tsx: 168 dòng, 8 hàm
C:\VScode\quickship\src\app\components\ui\pagination.tsx: 127 dòng, 7 hàm
C:\VScode\quickship\src\app\components\ui\popover.tsx: 48 dòng, 4 hàm
C:\VScode\quickship\src\app\components\ui\progress.tsx: 31 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\radio-group.tsx: 45 dòng, 2 hàm
C:\VScode\quickship\src\app\components\ui\resizable.tsx: 56 dòng, 3 hàm
C:\VScode\quickship\src\app\components\ui\scroll-area.tsx: 58 dòng, 2 hàm
C:\VScode\quickship\src\app\components\ui\select.tsx: 189 dòng, 10 hàm
C:\VScode\quickship\src\app\components\ui\separator.tsx: 28 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\sheet.tsx: 139 dòng, 10 hàm
C:\VScode\quickship\src\app\components\ui\sidebar.tsx: 726 dòng, 25 hàm
C:\VScode\quickship\src\app\components\ui\skeleton.tsx: 13 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\slider.tsx: 63 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\sonner.tsx: 25 dòng, 0 hàm
C:\VScode\quickship\src\app\components\ui\switch.tsx: 31 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\table.tsx: 116 dòng, 8 hàm
C:\VScode\quickship\src\app\components\ui\tabs.tsx: 66 dòng, 4 hàm
C:\VScode\quickship\src\app\components\ui\textarea.tsx: 18 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\toggle-group.tsx: 73 dòng, 2 hàm
C:\VScode\quickship\src\app\components\ui\toggle.tsx: 47 dòng, 1 hàm
C:\VScode\quickship\src\app\components\ui\tooltip.tsx: 61 dòng, 4 hàm
C:\VScode\quickship\src\app\components\ui\use-mobile.ts: 21 dòng, 1 hàm
